Abréviation,Raison sociale,Nom,Spécialité,Catégorie pour la cartographie,Domaine d’études,Localité,Département,Région,Rattachement,Commentaires,Exclusif aux doctorant.e.s/docteur.e.s,Site internet,"Pages
réseaux",Contact,"Toujours en
activité ?",Commentaires prise de contact,"Représentation
sur la carte",,,,,,,,,
Academia,"Blog, plateforme de communication",Academia,Insertion professionnelle,"Carrière, Formation",Tous,National,,National,,National,,- - -,,Blog sur l'emploi dans l'enseignement supérieur et la recherche.,Oui,https://academia.hypotheses.org/,,Twitter,,- - -,,Oui,,,,Non
"Solidaires
étudiant-e-s
Aix Marseille",Syndicat,Solidaires étudiant-e-s Aix-Marseille,Défense des droits,Défense des droits,Tous,Aix-Marseille,,(13) Bouches-du-Rhône,,"Provence-Alpes-Côte
d’Azur",,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,https://seslaixmarseille.wordpress.com/,,"Twitter
Facebook
Instagram",,sesl.aixmarseille@gmail.com,,Oui,,,,Non
"Solidaires
étudiant-e-s
Amiens",Syndicat,Solidaires étudiant-e-s Amiens,Défense des droits,Défense des droits,Tous,Amiens,,(80) Somme,,Hauts-de-France,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Facebook
Instagram",,amiens.solidairesetu@gmail.com,,Oui,,,,Non
"Solidaires
étudiant-e-s
BSM",Syndicat,Solidaires étudiant-e-s Boulogne-sur-Mer,Défense des droits,Défense des droits,Tous,Boulogne-Sur-Mer,,(62) Pas-de-Calais,,Hauts-de-France,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Facebook",,solidaires.etudiants.boulogne@gm,,Oui,,,,Non
"Solidaires
étudiant-e-s
Dijon",Syndicat,Solidaires étudiant-e-s Dijon,Défense des droits,Défense des droits,Tous,Dijon,,(21) Côte-d’Or,,"Bourgogne-Franche-
Comté",,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Facebook
Instagram",,"solidaires-etudiant-e-
s.dijon@riseup.net",,Oui,,,,Non
"Solidaires
étudiant-e-s
EHESS",Syndicat,Solidaires étudiant-e-s EHESS,Défense des droits,Défense des droits,Sciences sociales,Paris,,(75) Paris,,Île-de-France,,EHESS Paris,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,https://solidairesehess.wordpress.com/,,Facebook,,solidaires_ehess@riseup.net,,Oui,,,,Non
"Solidaires
étudiant-e-s
ENS",Syndicat,Solidaires étudiant-e-s ENS,Défense des droits,Défense des droits,Sciences et Lettres,Paris,,(75) Paris,,Île-de-France,,ENS Paris Ulm,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,https://solidairesetudiantsesens.wordpress.com/,,"Twitter
Facebook",,ens@solidaires-etudiant-e-s.org,,Oui,,,,Non
"Solidaires
étudiant-e-s
Grenoble",Syndicat,Solidaires étudiant-e-s Grenoble,Défense des droits,Défense des droits,Tous,Grenoble,,(38) Isère,,Auvergne-Rhône-Alpes,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,https://solidairesetudiantsgrenoble.wordpress.com/,,"Twitter
Facebook
Instagram",,solidaires.etudiants.grenoble@gm,,Oui,,,,Non
"Solidaires
étudiant-e-s
La Rochelle",Syndicat,Solidaires étudiant-e-s La Rochelle,Défense des droits,Défense des droits,Tous,La Rochelle,,(17) Charente-maritime,,Nouvelle-Aquitaine,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,https://solidairesetudianteslarochelle.wordpress.com/,,"Twitter
Facebook
Instagram",,sesl.larochelle@gmail.com,,Oui,,,,Non
"Solidaires
étudiant-e-s
Lille",Syndicat,Solidaires étudiant-e-s Lille,Défense des droits,Défense des droits,Tous,Lille,,(59) Nord,,Hauts-de-France,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Facebook
Instagram",,lille.sud.etudiant@gmail.com,,Oui,,,,Non
"Solidaires
étudiant-e-s
Lyon",Syndicat,Solidaires étudiant-e-s Lyon,Défense des droits,Défense des droits,Tous,Lyon,,(69) Rhône,,Auvergne-Rhône-Alpes,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Facebook
Instagram",,solidairesetudianteslyon@gmail.c,,Oui,,,,Non
"Solidaires
étudiant-e-s
MLV",Syndicat,Solidaires étudiant-e-s Paris-Est Marne-la-Vallée,Défense des droits,Défense des droits,Tous,Marne-la-vallée,,(77) Seine-et-Marne,,Île-de-France,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,Instagram,,syndicatusem@outlook.fr,,Oui,,,,Non
"Solidaires
étudiant-e-s
Montpellier",Syndicat,Solidaires étudiant-e-s Montpellier,Défense des droits,Défense des droits,Tous,Montpellier,,(34) Hérault,,Occitanie,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,https://solidairesetudiants34.wordpress.com/,,"Twitter
Facebook 1
Facebook 2
Instagram",,"04.67.14.23.10
solidaires.etudiants.34@gmail.com
solidaires.etudiants.um@gmail.co",,Oui,,,,Non
"Solidaires
étudiant-e-s
Nancy",Syndicat,Solidaires étudiant-e-s Nancy,Défense des droits,Défense des droits,Tous,Nancy,,(54) Meurthe-et-Moselle,,Grand-Est,,Université de Lorraine,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Facebook
Instagram",,seslnancy@riseup.net,,Oui,,,,Non
"Solidaires
étudiant-e-s
Nantes",Syndicat,Solidaires étudiant-e-s Nantes,Défense des droits,Défense des droits,Tous,Nantes,,(44) Loire-Atlantique,,Pays-de-la-Loire,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,https://solidairesetudiantnantes.wordpress.com/,,"Twitter
Facebook",,sudetudiant.nantes@gmail.com,,Oui,,,,Non
"Solidaires
étudiant-e-s
Paris 1",Syndicat,Solidaires étudiant-e-s Paris 1,Défense des droits,Défense des droits,Tous,Paris,,(75) Paris,,Île-de-France,,Paris 1,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,Facebook,,solidairesetuparis1@gmail.com,,Oui,,,,Non
"Solidaires
étudiant-e-s
Paris 2
Panthéon
Assas",Syndicat,Solidaires étudiant-e-s Paris 2 Panthéon Assas,Défense des droits,Défense des droits,Tous,Paris,,(75) Paris,,Île-de-France,,Paris 2 Panthéon Assas,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Instagram",,assas.solidairesetudiantes@gmail,,Oui,,,,Non
"Solidaires
étudiant-e-s
Paris 8 Saint-
Denis",Syndicat,Solidaires étudiant-e-s Paris 8 Saint-Denis,Défense des droits,Défense des droits,Tous,Paris,,(75) Paris,,Île-de-France,,Paris 8 Saint-Denis,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,"http://solidairesetudiantesp8.over-blog.com/
(plus de mises à jour depuis 2021)",,"Twitter
Facebook
Instagram",,sudparis8@gmail.com,,Oui,,,,Non
"Solidaires
étudiant-e-s
Paris Cité",Syndicat,Solidaires étudiant-e-s Paris Cité,Défense des droits,Défense des droits,Tous,Paris,,(75) Paris,,Île-de-France,,Université Paris Cité,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Facebook
Instagram",,solidairesup@gmail.com,,Oui,,,,Non
"Solidaires
étudiant-e-s
Paris Est
Créteil UPEC",Syndicat,Solidaires étudiant-e-s Paris Est Créteil UPEC,Défense des droits,Défense des droits,Tous,Paris,,(75) Paris,,Île-de-France,,"Université Paris-Est Créteil
UPEC",,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Facebook",,solidaire.upec@gmail.com,,Oui,,,,Non
"Solidaires
étudiant-e-s
Pau Béarn",Syndicat,Solidaires étudiant-e-s Pau Béarn,Défense des droits,Défense des droits,Tous,Pau,,(64) Pyrénées-Atlantiques,,Nouvelle-Aquitaine,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Facebook
Instagram",,solidairesetudiant.e.s.pau@gmail.c,,Oui,,,,Non
,,,,,,,,,,,,,,,,,,,om,,,,,,,
"Solidaires
étudiant-e-s
PSL",Syndicat,Solidaires étudiant-e-s Paris Sciences Lettres,Défense des droits,Défense des droits,Tous,Paris,,(75) Paris,,Île-de-France,,Paris Sciences Lettres – PSL,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Instagram",,psl@solidaires-etudiant-e-s.org,,Oui,,,,Non
"Solidaires
étudiant-e-s
Sciences Po
Paris",Syndicat,Solidaires étudiant-e-s IEP Paris,Défense des droits,Défense des droits,Sciences politiques,Paris,,(75) Paris,,Île-de-France,,IEP Sciences-Po Paris,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,https://sudsciencespo.wordpress.com/,,"Twitter
Facebook
Instagram",,solidaires.etu.scpo@gmail.com,,Oui,,,,Non
"Solidaires
étudiant-e-s
Strasbourg
Alsace",Syndicat,Solidaires étudiant-e-s Strasbourg Alsace,Défense des droits,Défense des droits,Tous,Strasbourg,,(67) Bas-Rhin,,Grand-Est,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Facebook
inaccessible
Instagram",,solidaires.etu.alsace@gmail.com,,Oui,,,,Non
"Solidaires
étudiant-e-s
Toulouse",Syndicat,Solidaires étudiant-e-s Toulouse,Défense des droits,Défense des droits,Tous,Toulouse,,(31) Haute-Garonne,,Occitanie,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Facebook
Instagram",,solidairesetutoulouse@protonmail.,,Oui,,,,Non
"Solidaires
étudiant-e-s
Tours",Syndicat,Solidaires étudiant-e-s Tours AIT,Défense des droits,Défense des droits,Tous,Tours,,(37) Indre-et-Loire,,Centre-Val-de-Loire,,Université de Tours,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Facebook
Instagram",,seslaitours@gmail.com,,Oui,,,,Non
Sud Education,Syndicat,Sud Education,Défense des droits du personnel de l’éducation,Défense des droits,Tous,National,,National,,National,,- - -,,"Branche éducation du syndicat SUD.
Solidaire, unitaire, démocratique, SUD éducation est un syndicat intercatégoriel qui
s’efforce d’unir les revendications des personnels de la maternelle à l’université, dans
les écoles, les collèges, les lycées, les universités et tous les services. Nous portons
un syndicalisme de lutte qui défend les droits des personnels sans compromission
avec la hiérarchie.
SUD éducation est une fédération de syndicats départementaux et pluri-
départementaux qui couvrent l’ensemble du territoire. Chaque syndicat local s ’organise
démocratiquement et contribue à déterminer l’action de la fédération, notamment v ia le
Conseil fédéral.",Non,https://www.sudeducation.org/,,"Twitter
Facebook
Instagram",,"01.58.39.30.12
fede@sudeducation.org",,Oui,,,,Non
"Facs et labos
en lutte !",Collectif,Facs et labos en lutte !,Défense des droits,Défense des droits,Tous,National,,National,,National,,- - -,,"Facs et labos en lutte - pour les conditions d'emploi et de retraite dans l'enseignement
supérieur.",Non,https://universiteouverte.org/,,"Twitter
Facebook",,"mobilisationemploiesr-
request@framalistes.org",,Non,,"Dernière activ ité :
12/01/2022
Pas de réponse.",,Non
Périples,Association,Périples,Diffusion de la connaissance,?,Histoire (Antiquité),Toulouse,,(31) Haute-Garonne,,Occitanie,,Toulouse 2,,Favoriser la diffusion de la connaissance des mondes anciens.,Non,http://periples-utm.over-blog.com/,,"Instagram
Facebook",,periples.utm@gmail.com,,Non,,Pas de réponse,,Non
"Solidaires
étudiant-e-s
IMT Atlantique",Syndicat,Solidaires étudiant-e-s IMT Atlantique,Défense des droits,Défense des droits,Mines-Télécom,Nantes,,(44) Loire-Atlantique,,Pays-de-la-Loire,,IMT Atlantique,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,Facebook,,solidaires.etu.imta.nantes@framali,,Non,,"Dernière publication novembre
2022.
Pas de réponse.",,Non
"Solidaires
étudiant-e-s
Orléans",Syndicat,Solidaires étudiant-e-s Orléans,Défense des droits,Défense des droits,Tous,Orléans,,(45) Loiret,,Centre-Val-de-Loire,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Facebook
Instagram",,solidaires.etudiants.orleans@gmai,,Non,,"Dernière activ ité : 26/09/2023
Pas de réponse",,Non
"Solidaires
étudiant-e-s
Paris 3
Sorbonne
Nouvelle",Syndicat,Solidaires étudiant-e-s Paris 3 Sorbonne Nouvelle,Défense des droits,Défense des droits,Tous,Paris,,(75) Paris,,Île-de-France,,Paris 3 Sorbonne Nouvelle,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Instagram",,solidairesetup3@gmail.com,,Non,,"Dernière activ ité : 31/08/2023
Pas de réponse",,Non
"Solidaires
étudiant-e-s
Poitiers",Syndicat,Solidaires étudiant-e-s Poitiers,Défense des droits,Défense des droits,Tous,Poitiers,,(86) Vienne,,Nouvelle-Aquitaine,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,Facebook,,solidaires.etudiant.e.s.poitiers@gm,,Non,,"Dernière activ ité : 11/01/2023
Pas de réponse",,Non
"Solidaires
étudiant-e-s
Versailles",Syndicat,Solidaires étudiant-e-s Versailles,Défense des droits,Défense des droits,Tous,Versailles,,(78) Yvelines,,Île-de-France,,- - -,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,"Twitter
Facebook
Instagram",,solidaires.etu.versailles@gmail.co,,Non,,"Dernière activ ité : 07/2023
Pas de réponse",,Non
"Solidaires
étudiant-e-s
Gard",Syndicat,Solidaires étudiant-e-s Gard,Défense des droits,Défense des droits,Mines-Télécom,Alès,,(30) Gard,,Occitanie,,IMT Mines Alès,,Syndicats locaux affiliés à Solidaires étudiant-e-s.,Non,- - -,,- - -,,solidaires.etudiants.30@gmail.com,,???,,,Non,
